county,precinct,registered_voters,ballots_cast,voter_turnout_percent
Shelby County,D102 - CROPPER INFORMATION,"1,089",456,41.87%
Shelby County,D103 - JAIL HILL INFORMATION,"1,353",333,24.61%
Shelby County,D104 - WEST BAGDAD INFORMATION,726,334,46.01%
Shelby County,D105 - BOONE STATION INFORMATION,"1,267",356,28.1%
Shelby County,E101 - TOWN N COUNTRY INFORMATION,"1,997",490,24.54%
Shelby County,E102 - MARSHALL DOAKS INFORMATION,"1,114",372,33.39%
Shelby County,E103 - NORTH SHELBY INFORMATION,"1,122",463,41.27%
Shelby County,E104 - TODDS POINT INFORMATION,584,217,37.16%
Shelby County,E105 - WEST SHELBY INFORMATION,250,72,28.8%
Shelby County,F101 - SIMPSONVILLE INFORMATION,"1,752",493,28.14%
Shelby County,F102 - SOUTH SIMPSONVILLE INFORMATION,"1,766",499,28.26%
Shelby County,F103 - GARDEN STATION INFORMATION,779,202,25.93%
Shelby County,F104 - LONG RUN INFORMATION,538,199,36.99%
Shelby County,F105 - PERSIMMON RIDGE INFORMATION,"1,265",426,33.68%
Shelby County,G101 - SHELBYVILLE #1 INFORMATION,"1,117",262,23.46%
Shelby County,G102 - SHELBYVILLE #2 INFORMATION,680,183,26.91%
Shelby County,G103 - SHELBYVILLE #3 INFORMATION,"1,240",361,29.11%
Shelby County,G104 - SHELBYVILLE #4 INFORMATION,"1,277",192,15.04%
Spencer County,A101 - TAYLORSVILLE #1 INFORMATION,"3,203",872,27.22%
Spencer County,B101 - WATERFORD #3 INFORMATION,"1,311",335,25.55%
Spencer County,B102 - WATERFORD #10 INFORMATION,"2,135",659,30.87%
Spencer County,C101 - ELK CREEK #4 INFORMATION,"1,978",625,31.6%
Spencer County,C102 - ELK CREEK #8 INFORMATION,"1,510",476,31.52%
Spencer County,D101 - CAMPBRANCH #1 INFORMATION,"1,568",408,26.02%
Spencer County,D102 - CAMPBRANCH #2 INFORMATION,"1,713",437,25.51%
Spencer County,E101 - LITTLE MOUNT #6 INFORMATION,"2,001",591,29.54%
Spencer County,E102 - MT EDEN #7 INFORMATION,"1,200",297,24.75%
Trimble County,A101 - WEST MILTON INFORMATION,463,127,27.43%
Trimble County,A102 - NORTH MILTON INFORMATION,579,127,21.93%
Trimble County,A103 - LEEPORT INFORMATION,822,251,30.54%
Trimble County,B101 - SOUTH BEDFORD INFORMATION,490,169,34.49%
Trimble County,B103 - BURROWS INFORMATION,795,292,36.73%
Trimble County,B104 - NORTH BEDFORD INFORMATION,492,119,24.19%
Trimble County,C101 - PALMYRA INFORMATION,384,117,30.47%
Trimble County,C103 - EAST MILTON INFORMATION,563,129,22.91%
Trimble County,C104 - SOUTH MILTON INFORMATION,749,222,29.64%
Trimble County,D101 - ANTIOCH INFORMATION,480,135,28.13%
Trimble County,D102 - PROVIDENCE INFORMATION,494,156,31.58%
Trimble County,D103 - EAST BEDFORD INFORMATION,679,205,30.19%
